id,timestamp,topic,value
184,"2026-07-17 22:25:19",tas_ai_surya_fsm_uksw/kelembaban,80.9
185,"2026-07-17 22:25:39",tas_ai_surya_fsm_uksw/suhu,25.5
186,"2026-07-17 22:25:39",tas_ai_surya_fsm_uksw/kelembaban,80.9
187,"2026-07-17 22:25:59",tas_ai_surya_fsm_uksw/suhu,25.5
188,"2026-07-17 22:25:59",tas_ai_surya_fsm_uksw/kelembaban,80.8
189,"2026-07-17 22:26:19",tas_ai_surya_fsm_uksw/suhu,25.5
190,"2026-07-17 22:26:19",tas_ai_surya_fsm_uksw/kelembaban,80.8
191,"2026-07-17 22:26:39",tas_ai_surya_fsm_uksw/suhu,25.5
192,"2026-07-17 22:26:39",tas_ai_surya_fsm_uksw/kelembaban,80.8
193,"2026-07-17 22:26:59",tas_ai_surya_fsm_uksw/suhu,25.5
194,"2026-07-17 22:26:59",tas_ai_surya_fsm_uksw/kelembaban,80.7
195,"2026-07-17 22:27:19",tas_ai_surya_fsm_uksw/suhu,25.5
196,"2026-07-17 22:27:19",tas_ai_surya_fsm_uksw/kelembaban,80.6
197,"2026-07-17 22:27:39",tas_ai_surya_fsm_uksw/suhu,25.5
198,"2026-07-17 22:27:39",tas_ai_surya_fsm_uksw/kelembaban,80.7
199,"2026-07-17 22:27:59",tas_ai_surya_fsm_uksw/suhu,25.5
200,"2026-07-17 22:27:59",tas_ai_surya_fsm_uksw/kelembaban,80.8
201,"2026-07-17 22:28:19",tas_ai_surya_fsm_uksw/suhu,25.5
202,"2026-07-17 22:28:19",tas_ai_surya_fsm_uksw/kelembaban,80.8
203,"2026-07-17 22:28:39",tas_ai_surya_fsm_uksw/suhu,25.5
204,"2026-07-17 22:28:39",tas_ai_surya_fsm_uksw/kelembaban,80.8
205,"2026-07-17 22:28:59",tas_ai_surya_fsm_uksw/suhu,25.5
206,"2026-07-17 22:28:59",tas_ai_surya_fsm_uksw/kelembaban,80.8
207,"2026-07-17 22:29:19",tas_ai_surya_fsm_uksw/suhu,25.4
208,"2026-07-17 22:29:19",tas_ai_surya_fsm_uksw/kelembaban,80.9
209,"2026-07-17 22:29:39",tas_ai_surya_fsm_uksw/suhu,25.5
210,"2026-07-17 22:29:39",tas_ai_surya_fsm_uksw/kelembaban,81.0
211,"2026-07-17 22:29:59",tas_ai_surya_fsm_uksw/suhu,25.5
212,"2026-07-17 22:30:00",tas_ai_surya_fsm_uksw/kelembaban,81.1
213,"2026-07-17 22:30:19",tas_ai_surya_fsm_uksw/suhu,25.4
214,"2026-07-17 22:30:19",tas_ai_surya_fsm_uksw/kelembaban,81.2
215,"2026-07-17 22:30:39",tas_ai_surya_fsm_uksw/suhu,25.4
216,"2026-07-17 22:30:39",tas_ai_surya_fsm_uksw/kelembaban,81.2
217,"2026-07-17 22:30:59",tas_ai_surya_fsm_uksw/suhu,25.4
218,"2026-07-17 22:30:59",tas_ai_surya_fsm_uksw/kelembaban,81.1
219,"2026-07-17 22:31:19",tas_ai_surya_fsm_uksw/suhu,25.4
220,"2026-07-17 22:31:19",tas_ai_surya_fsm_uksw/kelembaban,81.0
221,"2026-07-17 22:31:40",tas_ai_surya_fsm_uksw/suhu,25.4
222,"2026-07-17 22:31:40",tas_ai_surya_fsm_uksw/kelembaban,81.0
223,"2026-07-17 22:32:00",tas_ai_surya_fsm_uksw/suhu,25.4
224,"2026-07-17 22:32:00",tas_ai_surya_fsm_uksw/kelembaban,80.9
225,"2026-07-17 22:32:20",tas_ai_surya_fsm_uksw/suhu,25.4
226,"2026-07-17 22:32:20",tas_ai_surya_fsm_uksw/kelembaban,80.9
227,"2026-07-17 22:32:40",tas_ai_surya_fsm_uksw/suhu,25.4
228,"2026-07-17 22:32:40",tas_ai_surya_fsm_uksw/kelembaban,80.7
229,"2026-07-17 22:33:00",tas_ai_surya_fsm_uksw/suhu,25.4
230,"2026-07-17 22:33:00",tas_ai_surya_fsm_uksw/kelembaban,80.8
231,"2026-07-17 22:33:20",tas_ai_surya_fsm_uksw/suhu,25.4
232,"2026-07-17 22:33:20",tas_ai_surya_fsm_uksw/kelembaban,80.8
233,"2026-07-17 22:33:40",tas_ai_surya_fsm_uksw/suhu,25.4
234,"2026-07-17 22:33:40",tas_ai_surya_fsm_uksw/kelembaban,80.8
235,"2026-07-17 22:34:00",tas_ai_surya_fsm_uksw/suhu,25.4
236,"2026-07-17 22:34:00",tas_ai_surya_fsm_uksw/kelembaban,80.8
237,"2026-07-17 22:34:20",tas_ai_surya_fsm_uksw/suhu,25.4
238,"2026-07-17 22:34:20",tas_ai_surya_fsm_uksw/kelembaban,80.9
239,"2026-07-17 22:34:40",tas_ai_surya_fsm_uksw/suhu,25.4
240,"2026-07-17 22:34:40",tas_ai_surya_fsm_uksw/kelembaban,81.1
241,"2026-07-17 22:35:00",tas_ai_surya_fsm_uksw/suhu,25.4
242,"2026-07-17 22:35:00",tas_ai_surya_fsm_uksw/kelembaban,81.1
243,"2026-07-17 22:35:20",tas_ai_surya_fsm_uksw/suhu,25.4
244,"2026-07-17 22:35:20",tas_ai_surya_fsm_uksw/kelembaban,81.1
245,"2026-07-17 22:35:40",tas_ai_surya_fsm_uksw/suhu,25.4
246,"2026-07-17 22:35:40",tas_ai_surya_fsm_uksw/kelembaban,80.9
247,"2026-07-17 22:36:00",tas_ai_surya_fsm_uksw/suhu,25.4
248,"2026-07-17 22:36:00",tas_ai_surya_fsm_uksw/kelembaban,80.8
249,"2026-07-17 22:36:20",tas_ai_surya_fsm_uksw/suhu,25.4
250,"2026-07-17 22:36:20",tas_ai_surya_fsm_uksw/kelembaban,80.8
251,"2026-07-17 22:36:40",tas_ai_surya_fsm_uksw/suhu,25.4
252,"2026-07-17 22:36:40",tas_ai_surya_fsm_uksw/kelembaban,80.8
253,"2026-07-17 22:37:00",tas_ai_surya_fsm_uksw/suhu,25.4
254,"2026-07-17 22:37:00",tas_ai_surya_fsm_uksw/kelembaban,80.8
255,"2026-07-17 22:37:20",tas_ai_surya_fsm_uksw/suhu,25.4
256,"2026-07-17 22:37:20",tas_ai_surya_fsm_uksw/kelembaban,80.8
257,"2026-07-17 22:37:40",tas_ai_surya_fsm_uksw/suhu,25.4
258,"2026-07-17 22:37:40",tas_ai_surya_fsm_uksw/kelembaban,80.9
259,"2026-07-17 22:38:00",tas_ai_surya_fsm_uksw/suhu,25.4
260,"2026-07-17 22:38:00",tas_ai_surya_fsm_uksw/kelembaban,80.8
261,"2026-07-17 22:38:20",tas_ai_surya_fsm_uksw/suhu,25.4
262,"2026-07-17 22:38:20",tas_ai_surya_fsm_uksw/kelembaban,80.7
263,"2026-07-17 22:38:40",tas_ai_surya_fsm_uksw/suhu,25.4
264,"2026-07-17 22:38:40",tas_ai_surya_fsm_uksw/kelembaban,80.7
265,"2026-07-17 22:39:00",tas_ai_surya_fsm_uksw/suhu,25.4
266,"2026-07-17 22:39:00",tas_ai_surya_fsm_uksw/kelembaban,80.6
267,"2026-07-17 22:39:20",tas_ai_surya_fsm_uksw/suhu,25.4
268,"2026-07-17 22:39:20",tas_ai_surya_fsm_uksw/kelembaban,80.6
269,"2026-07-17 22:39:40",tas_ai_surya_fsm_uksw/suhu,25.4
270,"2026-07-17 22:39:40",tas_ai_surya_fsm_uksw/kelembaban,80.7
271,"2026-07-17 22:40:00",tas_ai_surya_fsm_uksw/suhu,25.4
272,"2026-07-17 22:40:00",tas_ai_surya_fsm_uksw/kelembaban,81.0
273,"2026-07-17 22:40:20",tas_ai_surya_fsm_uksw/suhu,25.4
274,"2026-07-17 22:40:20",tas_ai_surya_fsm_uksw/kelembaban,81.1
275,"2026-07-17 22:40:40",tas_ai_surya_fsm_uksw/suhu,25.4
276,"2026-07-17 22:40:40",tas_ai_surya_fsm_uksw/kelembaban,81.0
277,"2026-07-17 22:41:00",tas_ai_surya_fsm_uksw/suhu,25.4
278,"2026-07-17 22:41:00",tas_ai_surya_fsm_uksw/kelembaban,80.9
279,"2026-07-17 22:41:20",tas_ai_surya_fsm_uksw/suhu,25.4
280,"2026-07-17 22:41:20",tas_ai_surya_fsm_uksw/kelembaban,80.9
281,"2026-07-17 22:41:40",tas_ai_surya_fsm_uksw/suhu,25.4
282,"2026-07-17 22:41:40",tas_ai_surya_fsm_uksw/kelembaban,81.0
283,"2026-07-17 22:42:00",tas_ai_surya_fsm_uksw/suhu,25.4
284,"2026-07-17 22:42:00",tas_ai_surya_fsm_uksw/kelembaban,80.8
285,"2026-07-17 22:42:20",tas_ai_surya_fsm_uksw/suhu,25.4
286,"2026-07-17 22:42:20",tas_ai_surya_fsm_uksw/kelembaban,80.9
287,"2026-07-17 22:42:40",tas_ai_surya_fsm_uksw/suhu,25.4
